User_ID,UTC_Time,Account,Operation,Coin,Change,Remark
141577691,6/13/2021 14:52,Spot,Thirdparty wallet Transfer,USDT,20,
141577691,6/15/2021 22:19,Spot,Buy,UMA,0.846,
141577691,6/15/2021 22:19,Spot,Transaction Related,USDT,-10.988694,
141577691,6/15/2021 22:19,Spot,Fee,UMA,-0.000846,
141577691,6/16/2021 12:35,Spot,Thirdparty wallet Transfer,USDT,30,
141577691,6/16/2021 12:47,Spot,Fee,LPT,-0.001,
141577691,6/16/2021 12:47,Spot,Transaction Related,USDT,-26.26,
141577691,6/16/2021 12:47,Spot,Buy,LPT,1,
141577691,6/16/2021 13:43,Spot,Thirdparty wallet Transfer,USDT,29.420319,
141577691,6/16/2021 13:54,Spot,Buy,LPT,1.52,
141577691,6/16/2021 13:54,Spot,Transaction Related,USDT,-39.9,
141577691,6/16/2021 13:54,Spot,Fee,LPT,-0.00152,
141577691,6/18/2021 21:25,Spot,Buy,USDT,5.3306,
141577691,6/18/2021 21:25,Spot,Transaction Related,LPT,-0.22,
141577691,6/18/2021 21:25,Spot,Fee,USDT,-0.0053306,
141577691,6/18/2021 21:26,Spot,Buy,USDT,12.105,
141577691,6/18/2021 21:26,Spot,Transaction Related,LPT,-0.5,
141577691,6/18/2021 21:26,Spot,Fee,USDT,-0.012105,
141577691,6/18/2021 21:29,Spot,Fee,SUN,-0.329,
141577691,6/18/2021 21:29,Spot,Buy,SUN,329,
141577691,6/18/2021 21:29,Spot,Transaction Related,USDT,-10.07727,
141577691,6/18/2021 21:51,Spot,Fee,USDT,-0.01039432,
141577691,6/18/2021 21:51,Spot,Transaction Related,SUN,-328,
141577691,6/18/2021 21:51,Spot,Buy,USDT,10.39432,
141577691,6/18/2021 22:06,Spot,Buy,KEEP,21,
141577691,6/18/2021 22:06,Spot,Fee,KEEP,-0.021,
141577691,6/18/2021 22:06,Spot,Transaction Related,USDT,-10.9914,
141577691,6/18/2021 22:27,Spot,Small assets exchange BNB,UMA,-0.845154,
141577691,6/18/2021 22:27,Spot,Small assets exchange BNB,BNB,0.00006286,
141577691,6/18/2021 22:27,Spot,Small assets exchange BNB,SUN,-0.671,
141577691,6/18/2021 22:27,Spot,Small assets exchange BNB,BNB,0.02648221,
141577691,6/18/2021 22:36,Spot,Transaction Related,KEEP,-20,
141577691,6/18/2021 22:36,Spot,Buy,USDT,10.404,
141577691,6/18/2021 22:36,Spot,Fee,BNB,-0.00002335,
141577691,6/20/2021 10:54,Spot,Transaction Related,LPT,-1.79,
141577691,6/20/2021 10:54,Spot,Fee,BNB,-0.00010423,
141577691,6/20/2021 10:54,Spot,Buy,USDT,44.8216,
141577691,6/20/2021 14:58,Spot,Transaction Related,USDT,-12.048848,
141577691,6/20/2021 14:58,Spot,Fee,BNB,-0.0000282,
141577691,6/20/2021 14:58,Spot,Buy,HARD,12.53,
141577691,6/20/2021 15:00,Spot,Transaction Related,HARD,-12.53,
141577691,6/20/2021 15:00,Spot,Fee,BNB,-0.00002823,
141577691,6/20/2021 15:00,Spot,Buy,USDT,12.07892,
141577691,6/20/2021 15:29,Spot,Buy,WAVES,0.676,
141577691,6/20/2021 15:29,Spot,Fee,BNB,-0.00002773,
141577691,6/20/2021 15:29,Spot,Transaction Related,USDT,-12.00576,
141577691,6/20/2021 15:34,Spot,Transaction Related,WAVES,-0.676,
141577691,6/20/2021 15:34,Spot,Buy,USDT,12.01928,
141577691,6/20/2021 15:34,Spot,Fee,BNB,-0.00002769,
141577691,6/20/2021 15:36,Spot,Fee,BNB,-0.00002319,
141577691,6/20/2021 15:36,Spot,Buy,SHIB,1546391,
141577691,6/20/2021 15:36,Spot,Transaction Related,USDT,-11.99999416,
141577691,6/20/2021 15:46,Spot,Buy,PERL,131.3,
141577691,6/20/2021 15:46,Spot,Transaction Related,USDT,-11.97456,
141577691,6/20/2021 15:46,Spot,Buy,PERL,131.3,
141577691,6/20/2021 15:46,Spot,Fee,BNB,-0.00002772,
141577691,6/20/2021 15:46,Spot,Transaction Related,USDT,-11.998194,
141577691,6/20/2021 15:46,Spot,Fee,BNB,-0.00002772,
141577691,6/20/2021 16:16,Spot,Buy,USDT,24.022648,
141577691,6/20/2021 16:16,Spot,Transaction Related,PERL,-262.6,
141577691,6/20/2021 16:16,Spot,Fee,BNB,-0.00005537,
141577691,6/20/2021 16:33,Spot,Transaction Related,SHIB,-1546391,
141577691,6/20/2021 16:33,Spot,Fee,BNB,-0.00002724,
141577691,6/20/2021 16:33,Spot,Buy,USDT,11.87628288,
141577691,6/20/2021 17:17,Spot,Fee,BNB,-0.00002733,
141577691,6/20/2021 17:17,Spot,Transaction Related,USDT,-11.99382,
141577691,6/20/2021 17:17,Spot,Buy,WAVES,0.678,
141577691,6/20/2021 18:26,Spot,Fee,BNB,-0.0000273,
141577691,6/20/2021 18:26,Spot,Transaction Related,USDT,-11.9664,
141577691,6/20/2021 18:26,Spot,Buy,LPT,0.48,
141577691,6/20/2021 18:31,Spot,Buy,USDT,12.082638,
141577691,6/20/2021 18:31,Spot,Fee,BNB,-0.00002757,
141577691,6/20/2021 18:31,Spot,Transaction Related,WAVES,-0.678,
141577691,6/20/2021 19:06,Spot,Fee,BNB,-0.00002316,
141577691,6/20/2021 19:06,Spot,Transaction Related,USDT,-11.99999577,
141577691,6/20/2021 19:06,Spot,Buy,SHIB,1544401,
141577691,6/20/2021 19:40,Spot,Buy,USDT,12.13899186,
141577691,6/20/2021 19:40,Spot,Fee,BNB,-0.00002714,
141577691,6/20/2021 19:40,Spot,Transaction Related,SHIB,-1544401,
141577691,6/20/2021 19:42,Spot,Transaction Related,LPT,-0.48,
141577691,6/20/2021 19:42,Spot,Fee,BNB,-0.00002687,
141577691,6/20/2021 19:42,Spot,Buy,USDT,11.9904,
141577691,6/20/2021 19:50,Spot,Buy,LPT,0.47,
141577691,6/20/2021 19:50,Spot,Transaction Related,USDT,-11.7782,
141577691,6/20/2021 19:50,Spot,Fee,BNB,-0.00002637,
141577691,6/20/2021 21:06,Spot,Fee,BNB,-0.00002612,
141577691,6/20/2021 21:06,Spot,Transaction Related,LPT,-0.47,
